,model,comment
1,POCO X3 Pro,Poco X3 pro official ki international??
2,Redmi 1,"redmi 10 pro max, sathe kono gift ache?"
3,POCO X3,Poco x3 Indian version ta ki ase... ??
4,POCO M2,poco m2 pro 6/128 available?
5,OnePlus 8,Oneplus 8 dual sim nai?
6,POCO F3,Poco f3 ni?
7,POCO X3,poco x3 ind (6/128gb) unofficial available??
8,POCO M2,Poco M2 /Redmi Note 9 inter ache?
9,POCO M3,Poco m3 6/128 available achey??
10,POCO X3 Pro,Poco x3 pro 6/128 =24500 ata ki official na ki unofficial
11,POCO F3,Poco f3 dam ki 31..32...as ba
12,POCO X3 Pro,poco x3 pro (8/128) available ache
13,Redmi 9 Power,Redmi 9 power  কত
14,Realme C3,Realme c3 4/64 hobe?
15,POCO X3,poco x3 6/128 unofficial nai
16,POCO M3,Poco m3 6/128 available??
17,OnePlus 8T,oneplus 8t 8-128 price ?
18,POCO X3 Pro,Poco x3 pro 6/128 price ?
19,POCO X3,poco x3 6/128 indian unofficial price ??
20,POCO X3,Poco x3 indian price koto?
21,POCO X3 Pro,এইটা POCO x3 pro এর জন্য পাওয়া যাবে?
22,OnePlus 9,Er theke oneplus 9R far better
23,POCO F3,Poco f3 available
24,Xiaomi Mi 11,Xiaomi mi 11 lite 5g available?
25,POCO X3 Pro,poco x3 pro ki international global?
26,POCO X3 Pro,poco x3 pro indian naki international?
27,POCO X3 Pro,poco x3 pro 8/128 ?
28,POCO X3 Pro,Okay! Poco x3 pro & very sleek design okay again
29,POCO X3 Pro,Poco x3 pro indian version and chineese version er difference ki? and better konta?
30,POCO X3,এতদিন ধরে Poco X3 চালাচ্ছি কিন্ত ফোনটা এত যে প্রিটি ভিডিওটি না দেখলে জীবনেও জানতাম না।
31,Vivo V20,X3 pro slick hoile vivo v20 is a joke
32,POCO X3,Ei video dekhar por.Poco X3 kinar iccha chole geche
33,POCO X3 Pro,"POCO X3 Pro এর অফার থাকলে বইলেন, এইসব লুতুপুতু খেলা দেখায়েন নাহ।"
34,OnePlus 8 Pro,Global Oneplus 8 pro 12/256GB & 8/128 GB প্রাইজ কত ভাই...?
39,POCO F3,poco f3 available and price?
40,OnePlus 8,Oneplus 8 ki ki color e ache?
41,OnePlus 7T,oneplus 7t price?
42,POCO X3 Pro,"Poco X3 pro international global hobena,,"
43,POCO X3 Pro,"Poco X3 pro Int. Global official, seriously?"
44,Redmi 9,Redmi 9 4/64 (Chinese) Full Intact ? নাকি দোকানে রিপলি করা?
45,Redmi 9,"Redmi 9 Chinese 3/4 পিছ নিলে কত রাখবেন, আর 9A. আছে কিনা?"
46,OnePlus 8,Bhaia OnePlus 8 ki ki color variant ase?
47,Redmi 9,Redmi 9 4/64••••••11999/-(Chinese)
48,POCO M2,Poco M2 Pro
49,POCO X3 Pro,Best price of Poco X3 pro
50,POCO X3,poco x3 6/128 available? Or unofficial?
51,POCO F3,Poco f3 8/256 price?
52,POCO X3,Poco x3 6/64 asa naki
53,OnePlus 9,Oneplus 9pro price ?
54,POCO X3,Need poco x3
55,Galaxy A5,Samsung Galaxy A52 available hbe ki???r hole prices koto???
56,POCO F3,Poco f3 pro er price?
57,Realme X2 Pro,Realme x2 pro available?
58,POCO F3,poco f3 pro ber houar chances ache?
59,POCO F3,Poco F3 limited bolte koyta stock a ase bujhacchen?
60,POCO F3,8/256 poco f3 price
61,POCO F3,Poco f3 5g global white colour hobe?
62,POCO M3,poco m3 official?
63,POCO F3,"Poco F3 8/128 Price Pls,"
64,POCO F3,Poco F3 er ki 8/128 variant asbe?
65,POCO X3,Poco x3
66,POCO X3,"Poco x3 nite chai,,,"
67,POCO X3,Tnx vai poco x3 peyesi intex phone !
68,POCO F3,Poco F3 er price koto ???
69,POCO M2,Exchange possible with Poco m2 pro?
70,POCO M2,poco m2 pro (6/64) available?
71,POCO X3,Poco x3 ache??
72,Redmi 9,Redmi 9 CN er dam barlo keno? Eta to 11500/- diya bikri hoto!
73,POCO M2,Poco M2 pro ta ki available
74,POCO X3 Pro,Poco x3 proo 6/128 gb kih ashe nai
75,Black Shark,Black shark 4  ki available ase?
76,Redmi 9,Redmi 9 cn global hoba
77,Redmi 9,Redmi 9 CN (4/64) Black 12.5k
78,POCO F3,Poco F3 কবে পাবো?.
79,Redmi 9,Redmi 9 cn mane ki
80,iPhone 12 Pro Max,Iphone 12 pro max 128gb bd Official phone ase? Daam koto?
81,Droid Mini,xiomi Android mini tv box price please
82,POCO M2,"Poco m2 pro available?  R price koto, unofficial?"
83,POCO X3 Pro,Poco x3 pro 8/256 global price
84,Redmi 1,Redmi 10x er price kombe kbe? kisudin agei na 14k silo.
85,POCO X3 Pro,Poco x3 pro er dam 30k howa drkar..
86,POCO X3 Pro,"poco x3 pro 8/128 , 26k kbe hbe?"
87,ZenFone 8,Asus ZenFone 8 ki er price plz?
88,POCO M2,poco m2 pro available?
89,iPhone XR,iphone xr available?
90,POCO M2,vai poco m2 pro er sathe exchange kora jabe ki?
91,POCO F3,poco f3 kkn available hobe?
92,POCO X3 Pro,poco x3 pro available?
93,POCO X3 Pro,Poco X3 pro unofficial ache Vai..??
94,Redmi K40 Gaming,Redmi k40 gaming  edition  asbe kobe
95,POCO F3,Poco f3pro dorkar  kobe pawa jabe??
96,POCO X3 Pro,Poco x3 pro int ase
97,POCO M2,Poco m2pro ki r nai?
98,POCO M2,Poco m2 pro available or not?
99,POCO X3 Pro,Poco x3 pro ki indian naki international ? R 8/128 ki available ?
100,POCO X3 Pro,Poco x3 pro bronze colour ta ace?
101,Redmi 1,Redmi 10pro Available Ache ki?Order Korte Parbo???
102,POCO X3 Pro,Poco x3 pro phantom black ta hbe apndr kase? Shop e eshe nitam..
103,POCO X3 Pro,POCO X3 pro indian or global?
104,POCO X3 Pro,Poco X3 pro ki indian variant...
105,POCO X3 Pro,Poco X3 Pro Price 6 128
106,POCO X3 Pro,poco x3 pro indian global or international global?
107,POCO X3 Pro,Poco x3 pro kon variant???
108,POCO X3 Pro,"Jai hok poco x3 pror dam 25000 raksen.dekhe valoi laglo, but bidhi bam amar kache ace 16k, ekhn 25k kmne kori"
109,POCO X3 Pro,poco x3 pro er pic tule post koren
110,POCO M2,Poco m2 pro 4/64  ki available?  Hole price koto?
111,Realme C2,Realme c25 .?
112,POCO X3 Pro,Poco X3 pro international global ta 25k te den please
113,Redmi 9A,দুপুরে ফোন দিলাম Redmi 9A 4/64•••••9000/-  (Chinese) স্টক নাই। আবার এলো কোথা থেকে?
114,POCO X3 Pro,poco x3 prooo neye nebo naki
115,Realme X2,Realme X2 global version ki available
116,Nord N10 5G,One plus nord n10 5g ki official?
117,POCO F3,Poco f3 ta kobe anben??
118,OnePlus 7T,Oneplus 7t ki available??
119,POCO X3,Poco x3 (Non NFC)
120,OnePlus Nord,Vaiya... Oneplus nord 8/128 unofficial er price koto porbe..?
121,OnePlus 9,OnePlus 9R ar price kom hoiya gele nah
122,OnePlus 8,oneplus 8 T 48k hobe
123,OnePlus 8,Oneplus 8 glow colour available?
124,POCO X3,poco x3 6/128 global available?
125,Tecno Spark,Tecno spark 7 pro কত টাকা?
126,POCO X3 Pro,Poco x3 pro international
127,POCO F3,Mi 11x/poco f3/k40 ar price koto??
128,POCO F3,Poco f3 official kobe asbe
129,POCO X3 Pro,Poco x3 pro global price?
130,POCO X3,Poco x3 unofficial price pls
131,Redmi 9 Power,Redmi 9 power ki official naki unofficial?
132,OnePlus Nord,Oneplus nord hobe??
133,POCO F3,Poco F3 Er Dam Koman Na Kn Bujhi Na
134,POCO F3,Poco f3 er price koto?
135,POCO X3 Pro,Poco x3 pro 6/128 official = 28 k...
136,POCO M3,Vai poco m3 er price ta ektu bolben
137,Redmi 1,redmi 10x 4/128 এটার দাম কত ?
138,POCO F3,Poco F3 available??
139,POCO F3,Poco f3 black available?
140,Mi Note 10 Lite,Xaomi note 10 lite kemon?
141,POCO X3,poco x3 6/128 unofficial price plc?
142,Redmi 9A,Redmi 9A koto GB memory card support kore?
143,POCO X3,poco X3  pro কি official??
144,POCO M3,poco m3 pro 5g ???
145,POCO X3 Pro,Poco x3 pro price ki komano jabe?
147,Redmi 9,redmi 9T prize??
148,POCO F3,Poco F3 kobe pabo
149,POCO X3,Poco x3 8/128 ki available?
150,Realme Narzo,Realme Narzo 30a Avilable.?
151,POCO M2,poco m2 pro ace ?
152,POCO X3 Pro,Poco X3 pro official e 26k .
153,Redmi 9,Redmi 9 price plz
154,OnePlus 8 Pro,Oneplus 8 pro 8/128 price?
155,POCO M3,"Poco m3 pro  kobe pawa jabe,  janaben kindly..?"
156,POCO X3 Pro,Poco x3 Pro 8/128 available?
157,POCO X3,Poco x3 indian koto?
158,POCO X3 Pro,Poco X3 pro 6/128 ata ki ind global?
159,Redmi 9,Redmi 9 4/64 price koto???
160,Redmi 9 Power,Redmi 9 power  ki 64 sd card support  hobey
161,POCO F3,POCO F3 price??
162,POCO X3 Pro,Poco X3 pro ata India naki International
163,Redmi 9 Power,redmi 9 power er price koto vai?
164,Redmi 9 Power,Redmi 9 power koto gb
165,Redmi 9,Redmi 9 powar ta ki pawa jabe vai ..
166,POCO F3,mi11x / poco f3 er kono update ace ?
167,OnePlus 8,Oneplus 8 black/interstellar glow 8/128 available ache?
168,POCO X3 Pro,Poco x3 pro
169,POCO F3,vai poco f3 have
170,POCO X3 Pro,Poco x3 pro budget and  my choice is x3 pro
171,POCO X3,poco x3 8/128 official ar prize koto??
172,POCO F3,Nije poco f3 chalai kintu budget e best poco x3 pro poco f3 ektu over price
173,POCO F3,Poco f3...
174,POCO M2,poco m2 pro available
175,OnePlus 8T,Oneplus 8t & 9r price please?
177,POCO X3 Pro,Poco x3 pro 6/128 office price koto?
178,POCO F3,Poco f3 ace
179,iPhone XR,iphone xr 128gb?
180,POCO X3,"Poco x3 à¦à¦° à¦¡à¦¿à¦¸à¦ªà§à¦²à§‡ à¦ à¦¿à¦• à¦†à¦›à§‡ à¦¶à§à¦§à§ à¦Ÿà¦¾à¦š à¦¨à¦·à§à¦Ÿ à¦¹à¦‡à¦¸à§‡, à¦ à¦¿à¦• à¦•à¦°à¦¾à¦¤à§‡ à¦•à¦¤ à¦–à¦°à¦š à¦ªà¦°à¦¬à§‡?"
181,iPhone 11,Iphone 11pro Golden available?
182,iPhone X,iPhone X Hobe naki
183,iPhone 11,Iphone 11 battery Percentage. ?
184,iPhone 7 Plus,iphone 7 plus battery helth koto..
185,iPhone 12,Iphone 12 128 usa varient?
186,iPhone 12,iPhone 12 128 gb koto taka? battery Percentage koto
187,iPhone XR,Iphone xr Battery health?
189,iPhone XR,Can i exchange iphone 6s with iphone xr?
190,OnePlus 7,Exchange possible oneplus 7pro 5g 8/256
191,iPhone XS Max,IPhone xs max new available...?
192,iPhone 11,iphone 11 used price koto?? Box with charger
193,iPhone X,Iphone x unofficial koto dam
194,Realme X2,Realme X2 cn (8/256) apnader kache theke kinechilam..
195,iPhone 8,"Can i exchange my iphone 8 plus (usa product with full box) with 11 pro , how much i have to add?"
196,Galaxy A5,Vai galaxy a52 ase ?
197,POCO F3,Poco f3 available  plz  price ta bolen
198,OnePlus 9,Oneplus 9 price nd available ache ki?
199,OnePlus 9 Pro,"Vaia oneplus 9 pro 8-256 price ta koto solce , r apnader kace borto mane paoa jasce ki ?"
200,OnePlus 9,Oneplus 9R price 8/128
201,iPhone 11,iphone 11 ase used?
202,OnePlus 9,Oneplus 9R
203,Galaxy Note,Samsung galaxy note 10 price?
204,Mi 9T Pro,Mi 9t pro?
205,Redmi 9,redmi 9 (global) ta ke akon pwa jabe set.
206,iPhone XR,Iphone xr 128gb ki avilable bhaiya?
207,OnePlus 7T Pro,OnePlus 7t pro Mclaren Edition 12/price256 duel sim
213,OnePlus 7T Pro,OnePlus 7t pro Maclean Edison 12/256 duel sim price
214,OnePlus 9,Oneplus 9 price plz
215,OnePlus 9,Oneplus 9 8GB ram price?
216,POCO F3,à¦­à¦¾à¦‡ poco f3 6/128 hobe?
217,POCO X3 Pro,vai poco x3 pro koto?
218,iPhone 7,Iphone 7-8+ konota ase?
219,OnePlus 8 Pro,Oneplus 8 pro price
220,Mi 10 Ultra,Mi 10 ultra hbe bhaiya?
221,OnePlus 7,Oneplus 7 128gb?
222,OnePlus 8 Pro,viya oneplus 8 pro ki ace
229,iPhone 7,IPhone 7 silver edition ta aktu dakayen plz
231,POCO M2,à¦­à¦¾à¦‡à¦¯à¦¼à¦¾ k20 pro 6/128 à¦à¦° à¦¦à¦¾à¦® à¦Ÿà¦¾ à¦•à¦¿ à¦à¦•à¦Ÿà§ à¦•à¦®à¦¾à¦¨ à¦¯à¦¾à¦¯à¦¼ ? Exchange er à¦•à§à¦·à§‡à¦¤à§à¦°à§‡ exchange à¦•à¦°à¦¬à§‹ poco m2 officeal dia
233,Mi 10 Ultra,Mi 10 ultra ta hobe vaiya??
238,iPhone 7,Iphone 7
245,iPhone 7,IPhone 7+ prices 128 gb piz
246,OnePlus 7,Oneplus 7 ache?
249,iPhone 7,IPhone 7+ prices piz
252,iPhone 6s,Iphone 6s plsu 64 gb price pls
255,iPhone 8,iphone 8
263,iPhone 7,IPhone 7+ prices
278,iPhone 7,iPhone 7+ prices
279,Galaxy S2,Vaiya samsung galaxy s20 ultra
280,iPhone 12,Vai iPhone 12 128 gb price ta jodi bolten
282,POCO X3 Pro,Vai poco x3 pro 8/128 koto
283,iPhone 7,Iphone 7+++
284,OnePlus 7T,Oneplus 7t
285,iPhone 7,iPhone 7+
287,iPhone 11,Iphone 11 fully feesh?
290,iPhone 6s,Vaiya iphone 6s plus ar price ta janlam nah
291,Realme Narzo,realme narzo 20 pro nichilam.. Livewire theke.. Onk valo phn paichi..
292,OnePlus 9,à¦­à¦¾à¦‡ oneplus 9 R à¦†à¦›à§‡
293,OnePlus 7T,OnePlus 7t price koto
294,iPhone 11 Pro,Ajke ki iPhone 11 pro ache used
296,OnePlus 7T,OnePlus 7t 6/128 unofficial price koto
297,OnePlus 7T,OnePlus 7t er price koto
298,Mi 10 Ultra,Mi 10 ultra ta bolben bhaiya.
299,POCO X3 Pro,Vhiya poco x3 pro ta price koto
300,iPhone 12 Max,iphone 12 max pro ase ?
301,iPhone 6s,Iphone 6s plus 64 gb price pls
302,Mi Note 10 Lite,Vai apana der kace ki mi note 10 lite asa..?
303,POCO F3,Poco F3 ache?
305,BlackBerry Key2,Blackberry key2
306,OnePlus 8,OnePlus 8 6/128
307,iPhone 7,Iphone 7plus  price koto
308,iPhone 6s,Vaiya iphone 6s plus tar price ta janlam nah akhono
309,OnePlus 6,à¦­à¦¾à¦‡ oneplus 6 à¦•à¦¿à¦¨à¦¤à§‡ à¦šà¦¾à¦‡à¥¤
310,iPhone 8,Iphone 8+ price koto bhai?
311,iPhone 11,Vai iphone 11 new hobe?
313,Galaxy Note,Galaxy note 10+
314,POCO M2,Poco m2 pro
315,POCO X3,Poco x3 nfc available?
316,OnePlus 7 Pro,oneplus 7 pro ki available?
317,OnePlus 7,Oneplus 7pro 6..128. Used price ta janaben plz..
318,POCO X3 Pro,Poco x3 pro ace
319,Oppo Reno3,Oppo Reno3 pro er price koto
320,Oppo F1,Assalamu alaikum vaia amr kache oppo f15 ase exchange korte cacchi samsung a71sathe kichu tk add korbo....
321,POCO X3 Pro,Poco x3 pro r dam koto
322,Oppo Reno,oppo reno 3 pro à¦•à¦¤à§‹ à¦¦à¦¾à¦® à¦à¦–à¦¨
323,iPhone 12 Max,Iphone 12 max pro koto?
324,POCO X3,Poco x3 ta nebo
325,Realme 5i,Realme 5i lagbe...
326,POCO X3,à¦¬à¦¾à¦Ÿà¦ªà¦¾à¦° à¦¹à¦² Poco X3 à¦®à¦¾à¦°à§à¦•à§‡à¦Ÿ à¦ªà§à¦°à¦¾à¦‡à¦¸ à§§à§®à§¦à§¦à§¦ à¦¹à¦¾à¦œà¦¾à¦° à¦Ÿà¦¾à¦•à¦¾
327,iPhone X,iphone x price?
328,POCO X3,Hirr...poco x3 india te 15000 e pawa jai
329,Redmi 9 Power,Redmi 9 power pp plz
330,Vivo V1,Vai redmi not8 ar vivo v15 pro. Modde konta vesi valo hove plz replei
331,POCO X3,Haha disi poco x3 er dam shune
332,iPhone XR,iphone xr brand new price please
333,POCO X3,Poco x3 dam 16500
334,ROG Phone 5,Rog phone 5 12/256
335,iPhone 12 Pro,IPhone 12 Pro 128 price?
336,iPhone 12,IPHONE 12 PRICE?
337,iPhone SE 2,iPhone SE 2020 available?
338,iPhone 12,Iphone 12 ultra  price koto bro?
339,iPhone 12,I have need iPhone 12pro max (golden)
340,POCO F3,Poco f3 ki available?
341,OnePlus 8T,Oneplus 8T à¦ªà§à¦°à¦¾à¦‡à¦¸ à¦•à¦¤??
342,POCO F3,When poco f3 will be available??
343,Galaxy Note 2,Galaxy note 20 ultra ki chinese naki global?
344,Moto G20,Is Moto g20 available? And price?
345,OnePlus 8,Oneplus 8 dual sim or single?
346,OnePlus 7,Oneplus 7 or 7t available?
347,Black Shark,Mi black shark 3 international?
348,POCO M3,poco M3 power black available?
349,OnePlus Nord,OnePlus nord 8/128 available?
350,Redmi 9 Power,Xaiomi redmi 9 power
351,POCO F3,Poco F3 8-128/ 8-256 kobe available hobe?
352,iPhone 12,Iphone 12 128 er daam 30k hoar asha e boshe achi...
353,POCO M2,POCO M2 made in India/global naki chinese ta?
354,POCO M2,Poco m2 pro unofficial ta ase naki er thakle price koto
355,OnePlus 8,Vai oneplus 8 international global naki indian
356,Galaxy F62,"Galaxy F62 dorkar, kobe available hobe? R Iqoo 7 niye asen. F3 er theke better phone, ami kinte cai."
357,Redmi 9,Redmi 9 unofficial ta hobe na ?
358,Galaxy A5,Samsung Galaxy A52 available???
359,Galaxy A32,Samsung Galaxy A32 ki ki color available?
360,POCO F3,poco f3 8/256 availabe ase ?
361,POCO F3,Poco F3 ase?
362,POCO M3,Poco M3 6/128 hobe?
363,POCO M2,Poco m2 pro unofficial available ase?
364,POCO X3,Poco x3 8-128 ache?
365,Pixel 4a,is pixel 4a available?? price?? might buy it today...
366,POCO X3 Pro,Poco x3 pro 6/128 available ?
367,iPhone X,iPhone X price
368,OnePlus 7,Do you have oneplus 7pro 6/128?
369,OnePlus 6,OnePlus 6 lagbe jodi 6 na thake tahole 7 lagbe.?
370,iPhone XS,Iphone xs used price koto??
371,iPhone XS,Iphone xs used price koto vaiya?
372,Vivo V20,Vivo v20pro Akdhum fresh .Box Nai
373,Galaxy A5,Galaxy A51
374,POCO X3,Poco X3 sell
375,Pixel 4a (5G),Google pixel 4a 5g last à¦•à¦¤ à¦ªà¦°à§à¦¬à§‡?
376,Oppo Reno,Oppo reno 5 price plz !
377,iPhone 11,Vai Need iPhone 11promax?
378,POCO F3,Poco F3 available ekhon?
379,Oppo Reno,OPPO RENO NEW Price koto?
380,Oppo Reno,Vai Oppo Reno 5 new official price koto porbe?
381,iPhone 7,IPhone 7 silver edition ta hbe??
383,OnePlus 6T,Vai oneplus 6t used ache
384,Galaxy Note,Samsung Galaxy Note 10+ 12gb 256 GB koto tk
385,Realme 6,Vai realme 6 used price koto??
386,POCO F3,Vai poco f3 er prize koto ekn
387,Realme 7i,Realme 7i
388,iPhone 11,Need Iphone 11pro max price?
389,Realme X2 Pro,Realme X2 pro price??
390,OnePlus 7T,Oneplus 7t ki ache?
391,Oppo F1,OPPO f17 asa ki?
392,OnePlus 7T,Oneplus 7t available bro?
393,iPhone 11,vaiya iphone 11 slim box koto ?
395,iPhone 7,vaiya iphone 7 koto ??
398,Realme XT,Bai realme xt amar lagbo ace
399,POCO X3,Poco x3 nfc
400,Oppo Reno,Oppo reno 2z price
401,Vivo V20,Vai Ami Vivo V20 pro set ta cell kurty Chai .akhun fresh  ktu diven price
402,POCO F3,poco f3 price koto??????
403,Vivo V1,Vai vivo v15pro price plz
404,Oppo Reno,Oppo reno 2z full box price koto?
406,iPhone XR,iPhone xr ace ki
407,Oppo Reno,kmn acen vai oppo reno 5 diye dekci
408,OnePlus 7T,Oneplus 7t ase
409,iPhone XR,Iphone xr er price koto
410,Realme 7i,Realme 7i ace vaiya
412,Realme X2,Realme x2 available?
414,iPhone 12,Vaiya Iphone 12 series hobe?
